rank,page,bvid,title,author,play,danmaku,favorites,comments,duration,pubdate,url,scraped_at
1,1,BV14kkKBTEqA,【4K超清】Fate/strange Fake 01-05话,晓月の舞,206604,1640,3312,1639,179:35,2026-01-16T09:07:32.000Z,http://www.bilibili.com/video/av115903853299744,2026-02-06T04:57:53.680Z
2,1,BV1UK6nBgEz3,【中字·1080】Fate/strange Fake 第05话,莉莎娜,441919,5071,4602,5071,25:7,2026-01-31T16:17:23.000Z,http://www.bilibili.com/video/av115990591441960,2026-02-06T04:57:53.680Z
3,1,BV1Zx421k7AZ,【(G)I-DLE】'Fate' LIVE CLIP,i-dle_official,9417671,10419,238251,10419,2:55,2024-03-13T12:07:44.000Z,http://www.bilibili.com/video/av1751673477,2026-02-06T04:57:53.680Z
4,1,BV15N4y127K8,Fate观看顺序？10分钟讲明白！最全最萌新的Fate系列安利，最佳入坑时机,野良晟,2380868,7886,100655,7886,13:37,2023-11-26T04:00:00.000Z,http://www.bilibili.com/video/av876461042,2026-02-06T04:57:53.680Z
5,1,BV1G8zQBwENQ,4k中字【Fate/strange Fake】第1~5集,波奇酱爱追番,154186,1281,2153,1281,181:49,2026-01-25T08:27:12.000Z,http://www.bilibili.com/video/av115954755307455,2026-02-06T04:57:53.680Z
6,1,BV1YnfZBcENe,【Fate/strange Fake】全12话 超清中字（周更） reaction,小鹿睡不醒n,6959,10,114,10,167:13,2026-02-04T08:25:34.000Z,http://www.bilibili.com/video/av116011378415152,2026-02-06T04:57:53.680Z
7,1,BV1Kn6mB1Exh,【从零看懂fsf】见面就掏EA！最核平的圣杯战争！Fate新作设定解析,中二少年晓凯,490585,1495,7655,1495,16:37,2026-01-10T09:10:34.000Z,http://www.bilibili.com/video/av115870013589787,2026-02-06T04:57:53.680Z
8,1,BV16NrjBEEjv,《fate》奇异赝品开播了，来看看已经登场的七位英灵，各个都是狠角色,寻心使者,179196,506,751,506,12:49,2026-01-13T22:10:00.000Z,http://www.bilibili.com/video/av115888585968133,2026-02-06T04:57:53.680Z
9,1,BV18CfoB4ELF,【中字·1080】Fate/strange Fake 第01话,莉莎娜,30215,94,380,94,26:7,2026-02-04T11:13:43.000Z,http://www.bilibili.com/video/av116012049629585,2026-02-06T04:57:53.680Z
10,1,BV1WefdBCEJd,【4K重制】Fate/strange Fake 第2-5话（周更）,樱眠未醒,8087,21,95,21,122:44,2026-02-04T10:00:00.000Z,http://www.bilibili.com/video/av116010724104763,2026-02-06T04:57:53.680Z
11,1,BV1ZL411B7rU,《Fate》最佳观看顺序 入坑必看，建议点赞收藏！,昔连,661356,348,30420,348,1:46,2023-05-23T03:27:13.000Z,http://www.bilibili.com/video/av443941132,2026-02-06T04:57:53.680Z
12,1,BV1et6UBfE4w,【中字·1080】Fate/strange Fake 第02话,莉莎娜,1280082,6015,17078,6015,25:7,2026-01-10T16:19:36.000Z,http://www.bilibili.com/video/av115871691309337,2026-02-06T04:57:53.680Z
